GENUS,PHYLUM,ORDER
Aurantiacibacter,Pseudomonadota,Sphingomonadales
Croceicoccus,Pseudomonadota,Sphingomonadales
Erythrobacter,Pseudomonadota,Sphingomonadales
Porphyrobacter,Pseudomonadota,Sphingomonadales
Paraurantiacibacter,Pseudomonadota,Sphingomonadales
Pelagerythrobacter,Pseudomonadota,Sphingomonadales
Qipengyuania,Pseudomonadota,Sphingomonadales
Tsuneonella,Pseudomonadota,Sphingomonadales
Aquisediminimonas,Pseudomonadota,Sphingomonadales
Blastomonas,Pseudomonadota,Sphingomonadales
Citromicrobium,Pseudomonadota,Sphingomonadales
Hankyongella,Pseudomonadota,Sphingomonadales
Novosphingobium,Pseudomonadota,Sphingomonadales
Novosphingopyxis,Pseudomonadota,Sphingomonadales
Parasphingopyxis,Pseudomonadota,Sphingomonadales
Parasphingorhabdus,Pseudomonadota,Sphingomonadales
Rhizorhabdus,Pseudomonadota,Sphingomonadales
Sphingobium,Pseudomonadota,Sphingomonadales
Sphingomonas,Pseudomonadota,Sphingomonadales
Sphingopyxis,Pseudomonadota,Sphingomonadales
Sphingorhabdus,Pseudomonadota,Sphingomonadales
Sphingosinithalassobacter,Pseudomonadota,Sphingomonadales
Tardibacter,Pseudomonadota,Sphingomonadales
Polymorphobacter,Pseudomonadota,Sphingomonadales
Sandaracinobacter,Pseudomonadota,Sphingomonadales
Sphingosinicella,Pseudomonadota,Sphingomonadales
Zymomonas,Pseudomonadota,Sphingomonadales
Acidithiobacillus,Pseudomonadota,Acidithiobacillales
Casimicrobium,Pseudomonadota,Casimicrobium
Denitrobacter,Pseudomonadota,Denitrobacter
Achromobacter,Pseudomonadota,Burkholderiales
Advenella,Pseudomonadota,Burkholderiales
Alcaligenes,Pseudomonadota,Burkholderiales
Basilea,Pseudomonadota,Burkholderiales
Bordetella,Pseudomonadota,Burkholderiales
Castellaniella,Pseudomonadota,Burkholderiales
Kerstersia,Pseudomonadota,Burkholderiales
Oligella,Pseudomonadota,Burkholderiales
Orrella,Pseudomonadota,Burkholderiales
Paenalcaligenes,Pseudomonadota,Burkholderiales
Paralcaligenes,Pseudomonadota,Burkholderiales
Pelistega,Pseudomonadota,Burkholderiales
Pigmentiphaga,Pseudomonadota,Burkholderiales
Pusillimonas,Pseudomonadota,Burkholderiales
Taylorella,Pseudomonadota,Burkholderiales
Burkholderia,Pseudomonadota,Burkholderiales
Caballeronia,Pseudomonadota,Burkholderiales
Chitinimonas,Pseudomonadota,Burkholderiales
Cupriavidus,Pseudomonadota,Burkholderiales
Ephemeroptericola,Pseudomonadota,Burkholderiales
