parent,node,PHYLUM,ORDER,GENUS
Rhodospirillales,Neokomagataea,,,Neokomagataea
Rhodospirillales,Novacetimonas,,,Novacetimonas
Rhodospirillales,Oecophyllibacter,,,Oecophyllibacter
Rhodospirillales,Parasaccharibacter,,,Parasaccharibacter
Rhodospirillales,Rhodovastum,,,Rhodovastum
Rhodospirillales,Roseococcus,,,Roseococcus
Rhodospirillales,Roseomonas,,,Roseomonas
Rhodospirillales,Sediminicoccus,,,Sediminicoccus
Rhodospirillales,Swingsia,,,Swingsia
Rhodospirillales,Azospirillum,,,Azospirillum
Rhodospirillales,Indioceanicola,,,Indioceanicola
Rhodospirillales,Nitrospirillum,,,Nitrospirillum
Rhodospirillales,Niveispirillum,,,Niveispirillum
Rhodospirillales,Skermanella,,,Skermanella
Rhodospirillales,Elioraea,,,Elioraea
Rhodospirillales,Aestuariispira,,,Aestuariispira
Rhodospirillales,Defluviicoccus,,,Defluviicoccus
Rhodospirillales,Ferrovibrio,,,Ferrovibrio
Rhodospirillales,Haematospirillum,,,Haematospirillum
Rhodospirillales,Hypericibacter,,,Hypericibacter
Rhodospirillales,Magnetospirillum,,,Magnetospirillum
Rhodospirillales,Pararhodospirillum,,,Pararhodospirillum
Rhodospirillales,Rhodospirillum,,,Rhodospirillum
Rhodospirillales,Tistrella,,,Tistrella
Rhodospirillales,Stella,,,Stella
Rhodospirillales,Terasakiella,,,Terasakiella
Rhodospirillales,Nisaea,,,Nisaea
Rhodospirillales,Magnetospira,,,Magnetospira
Rhodospirillales,Thalassospira,,,Thalassospira
Pseudomonadota,Rickettsiales,,Rickettsiales,
Rickettsiales,Anaplasma,,,Anaplasma
Rickettsiales,Ehrlichia,,,Ehrlichia
Rickettsiales,Neorickettsia,,,Neorickettsia
Rickettsiales,Wolbachia,,,Wolbachia
Rickettsiales,Orientia,,,Orientia
Rickettsiales,Rickettsia,,,Rickettsia
Pseudomonadota,Sneathiellales,,Sneathiellales,
Sneathiellales,Sneathiella,,,Sneathiella
Pseudomonadota,Sphingomonadales,,Sphingomonadales,
Sphingomonadales,Altererythrobacter,,,Altererythrobacter
Sphingomonadales,Aurantiacibacter,,,Aurantiacibacter
Sphingomonadales,Croceicoccus,,,Croceicoccus
Sphingomonadales,Erythrobacter,,,Erythrobacter
Sphingomonadales,Porphyrobacter,,,Porphyrobacter
Sphingomonadales,Paraurantiacibacter,,,Paraurantiacibacter
